guid,entry_status,major,in_school_earning,fin_aid_0,fin_aid_3000,fin_aid_10000,,,,,Fin Aid $0,"Fin Aid $3,000","Fin Aid $10,000"
6e0e8dc6-fc56-42ab-81f1-4fa2e65aa645,FTT,Art History,10500,14.55411358,18.9202755,40.90903474,,,,,0.1455411358,0.189202755,0.4090903474
9be2ed9b-eb14-4d18-94cd-9fc898b37fa8,FTT,Asian/Asian-American Studies,0,6.627968905,8.426625373,13.95887989,,,,,0.06627968905,0.08426625373,0.1395887989
0a97b481-05c6-457c-b9fa-364488aedad7,FTT,Asian/Asian-American Studies,4500,9.423700295,11.68932443,19.49482841,,,,,0.09423700295,0.1168932443,0.1949482841
1b68d1ad-7f16-455e-851a-5f6e59f73084,FTT,Asian/Asian-American Studies,10500,14.46772171,18.04542203,33.66268132,,,,,0.1446772171,0.1804542203,0.3366268132
c1e4f74f-365e-41fe-a3c5-651e2f6787e1,FTT,Asian/East Asian Studies,0,6.695968064,8.520905937,14.13457012,,,,,0.06695968064,0.08520905937,0.1413457012
18f851b4-d701-438a-8262-1aae8bad96d1,FTT,Asian/East Asian Studies,4500,9.533579468,11.83477438,19.6676677,,,,,0.09533579468,0.1183477438,0.196676677
e37921f4-4e68-458a-aae0-2f68c9c04b4e,FTT,Asian/East Asian Studies,10500,14.64862221,18.23452506,32.60835125,,,,,0.1464862221,0.1823452506,0.3260835125
7d1e4acf-215a-4334-8623-4e6d8f29ab95,FTT,Athletic Training,0,8.65439567,11.34235774,22.28741137,,,,,0.0865439567,0.1134235774,0.2228741137
d31e84f7-70db-4acf-b0e0-0873bd1e8ef1,FTT,Athletic Training,4500,12.97870728,17.19446785,39.75709497,,,,,0.1297870728,0.1719446785,0.3975709497
72bde51f-1eeb-4be9-aa46-c0630cfcaf1f,FTT,Athletic Training,10500,23.57081631,34.35312014,189.6863199,,,,,0.2357081631,0.3435312014,1.896863199
89d6c26d-c4d8-46d3-8abd-b42f8c1c5985,FTT,Aviation,0,8.650493561,11.28545627,21.32619443,,,,,0.08650493561,0.1128545627,0.2132619443
d8b01a00-92b6-4cc1-b615-d991a7294737,FTT,Aviation,4500,12.86446675,16.81584161,34.76128809,,,,,0.1286446675,0.1681584161,0.3476128809
a5de4625-9bb4-4dee-b702-8d522b47aea1,FTT,Aviation,10500,22.41578873,30.89717716,62.33890388,,,,,0.2241578873,0.3089717716,0.6233890388
461c1661-0871-45b6-b164-bc1251bc29bc,FTT,Behavioral Science,0,6.898073762,8.686535725,13.99968871,,,,,0.06898073762,0.08686535725,0.1399968871
c0f6a08e-339d-4730-8a9f-f8eb52cfff7c,FTT,Behavioral Science,4500,9.668000864,11.8628364,18.88087081,,,,,0.09668000864,0.118628364,0.1888087081
a305f42d-c87f-4a4e-a54a-affdfc71776f,FTT,Behavioral Science,10500,14.4689073,17.65258039,28.92310091,,,,,0.144689073,0.1765258039,0.2892310091
1e2dbff5-f71b-4ed7-b6fa-16ba112c59c7,FTT,Biochemistry,0,13.32743579,16.84058119,30.20876974,,,,,0.1332743579,0.1684058119,0.3020876974
c8c6356d-917b-418e-8858-ceaa4cdd38ae,FTT,Biochemistry,4500,18.95192667,24.21762555,48.79054072,,,,,0.1895192667,0.2421762555,0.4879054072
ef96f747-4aad-482f-a636-bb817d3f8510,FTT,Biochemistry,10500,31.66151393,43.2488018,182.4256402,,,,,0.3166151393,0.432488018,1.824256402
d4468738-24ec-4f90-b44e-9d731a11c8d6,FTT,Biology,0,7.993081019,10.06892883,16.76668548,,,,,0.07993081019,0.1006892883,0.1676668548
273beade-526e-413e-b516-1761aa869038,FTT,Biology,4500,11.24113497,13.96210787,23.92883925,,,,,0.1124113497,0.1396210787,0.2392883925
fed3efa7-ebfc-49c9-91d2-f320683ca60f,FTT,Biology,10500,17.40611104,22.00993668,44.56304175,,,,,0.1740611104,0.2200993668,0.4456304175
abeea6ce-c1ff-4b56-9d5c-ee9a7cc82256,FTT,Biomedical Engineering,0,7.356061783,9.378804684,15.84420416,,,,,0.07356061783,0.09378804684,0.1584420416
7daa4da8-f52f-4927-833d-37a5ec6837d1,FTT,Biomedical Engineering,4500,10.51864926,13.1539136,22.48410388,,,,,0.1051864926,0.131539136,0.2248410388
85997407-5ef3-464a-9289-463873895dd5,FTT,Biomedical Engineering,10500,16.45224064,20.7470661,38.18836295,,,,,0.1645224064,0.207470661,0.3818836295
68436049-2f2f-4d67-9102-28bc4c25bc1b,FTT,Biomedical Physics,0,8.005874576,10.06509707,16.37490034,,,,,0.08005874576,0.1006509707,0.1637490034
69e36e95-4ab3-486a-8893-d126d815182c,FTT,Biomedical Physics,4500,11.21092794,13.80836322,22.33657946,,,,,0.1121092794,0.1380836322,0.2233657946
dc80b506-dc70-4302-8c84-20446ada6f87,FTT,Biomedical Physics,10500,16.94249813,20.82502791,35.10875124,,,,,0.1694249813,0.2082502791,0.3510875124
25e21ba5-7703-46d4-80e7-91c243e7383a,FTT,Biotechnology,0,12.83723264,15.98989877,26.80876876,,,,,0.1283723264,0.1598989877,0.2680876876
66bbf3d0-138f-44c3-92b5-5586b0427611,FTT,Biotechnology,4500,17.8220143,22.18626343,39.07299571,,,,,0.178220143,0.2218626343,0.3907299571
e022dc05-1c5e-4e80-a306-0c1b6da70c6d,FTT,Biotechnology,10500,27.87722741,35.72028201,78.83955501,,,,,0.2787722741,0.3572028201,0.7883955501
efb2f80d-57dc-4490-a421-a3f22803bd52,FTT,Botany,0,8.449163716,10.98729344,20.82131373,,,,,0.08449163716,0.1098729344,0.2082131373
a16fdcf4-145a-472b-80ef-fc8b1e11a052,FTT,Botany,4500,12.50611417,16.33083718,36.39087796,,,,,0.1250611417,0.1633083718,0.3639087796
fddc772e-0337-4f9d-a2f5-8529321f0eeb,FTT,Botany,10500,21.93970923,31.40011414,49.72896501,,,,,0.2193970923,0.3140011414,0.4972896501
