Campus,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,industry,number_of_students_found_5_years_after_exit,median_annual_earnings_5_years_after_exit,average_annual_earnings_5_years_after_exit,number_of_students_found_10_years_after_exit,median_annual_earnings_10_years_after_exit,average_annual_earnings_10_years_after_exit
70,1,FTF + FTT,05021,05021,Accounting,Wholesale Trade,40,51746,53198,35,73405,78076
70,1,FTF + FTT,05021,05021,Accounting,Retail Trade,47,50401,53664,26,58858,82397
70,1,FTF + FTT,05021,05021,Accounting,Transportation & Warehousing,15,73398,62164,15,91654,97198
70,1,FTF + FTT,05021,05021,Accounting,Information,87,69891,67777,61,83998,91852
70,1,FTF + FTT,05021,05021,Accounting,Finance & Insurance,168,71273,71888,90,89316,90020
70,1,FTF + FTT,05021,05021,Accounting,Real Estate & Rental & Leasing,55,64247,67969,40,84899,82607
70,1,FTF + FTT,05021,05021,Accounting,"Professional, Scientific, & Technical Skills",589,73073,70860,235,90253,91763
70,1,FTF + FTT,05021,05021,Accounting,Management of Companies & Enterprises,9,61578,63266,8,84781,87877
70,1,FTF + FTT,05021,05021,Accounting,Admin & Support & Waste Mgmt & Remediation,87,56906,55275,51,74135,75299
70,1,FTF + FTT,05021,05021,Accounting,Educational Services,35,55619,58156,29,59060,63342
70,1,FTF + FTT,05021,05021,Accounting,Health Care & Social Assistance,48,45465,49758,44,39954,51904
70,1,FTF + FTT,05021,05021,Accounting,"Arts, Entertainment, & Recreation",11,46897,69724,6,77759,102490
70,1,FTF + FTT,05021,05021,Accounting,Accommodation & Food Services,18,37452,34202,7,33678,36664
70,1,FTF + FTT,05021,05021,Accounting,Other Services,22,59447,55489,8,39333,48986
70,1,FTF + FTT,05021,05021,Accounting,Non-Classified,,,,,,
70,1,FTF + FTT,05021,05021,Accounting,Government,72,67599,71517,51,94851,94714
70,1,FTF + FTT,05021,05021,Accounting,Wages - No NAICS Code,75,61763,59337,57,45407,62273
70,1,FTF + FTT,05041,05041,Finance,"Agriculture, Forestry, Fishing, & Hunting",8,33299,32992,,,
