Campus,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,industry,number_of_students_found_5_years_after_exit,median_annual_earnings_5_years_after_exit,average_annual_earnings_5_years_after_exit,number_of_students_found_10_years_after_exit,median_annual_earnings_10_years_after_exit,average_annual_earnings_10_years_after_exit
10,1,FTF + FTT,01991 + 01993,01993,Agricultural Biology and Plant & Irrigation Science,"Agriculture, Forestry, Fishing, & Hunting",,,,,,
10,1,FTF + FTT,01991 + 01993,01993,Agricultural Biology and Plant & Irrigation Science,Construction,,,,,,
10,1,FTF + FTT,01991 + 01993,01993,Agricultural Biology and Plant & Irrigation Science,Manufacturing,5,99036,107423,,,
10,1,FTF + FTT,01991 + 01993,01993,Agricultural Biology and Plant & Irrigation Science,Wholesale Trade,,,,,,
10,1,FTF + FTT,01991 + 01993,01993,Agricultural Biology and Plant & Irrigation Science,Transportation & Warehousing,,,,,,
10,1,FTF + FTT,01991 + 01993,01993,Agricultural Biology and Plant & Irrigation Science,Finance & Insurance,,,,,,
10,1,FTF + FTT,01991 + 01993,01993,Agricultural Biology and Plant & Irrigation Science,Real Estate & Rental & Leasing,,,,,,
10,1,FTF + FTT,01991 + 01993,01993,Agricultural Biology and Plant & Irrigation Science,"Professional, Scientific, & Technical Skills",,,,,,
10,1,FTF + FTT,01991 + 01993,01993,Agricultural Biology and Plant & Irrigation Science,Admin & Support & Waste Mgmt & Remediation,8,71829,63268,,,
10,1,FTF + FTT,01991 + 01993,01993,Agricultural Biology and Plant & Irrigation Science,Educational Services,,,,,,
10,1,FTF + FTT,01991 + 01993,01993,Agricultural Biology and Plant & Irrigation Science,"Arts, Entertainment, & Recreation",,,,,,
10,1,FTF + FTT,01991 + 01993,01993,Agricultural Biology and Plant & Irrigation Science,Accommodation & Food Services,,,,,,
10,1,FTF + FTT,01991 + 01993,01993,Agricultural Biology and Plant & Irrigation Science,Government,9,60604,73203,5,79960,79917
10,1,FTF + FTT,01991 + 01993,01993,Agricultural Biology and Plant & Irrigation Science,Wages - No NAICS Code,6,57867,64370,,,
10,1,FTF + FTT,02021,02021,Architecture,"Agriculture, Forestry, Fishing, & Hunting",,,,,,
10,1,FTF + FTT,02021,02021,Architecture,Utilities,,,,,,
10,1,FTF + FTT,02021,02021,Architecture,Construction,17,65373,66165,7,62732,73413
10,1,FTF + FTT,02021,02021,Architecture,Manufacturing,,,,,,
10,1,FTF + FTT,02021,02021,Architecture,Wholesale Trade,5,55942,49818,,,
10,1,FTF + FTT,02021,02021,Architecture,Retail Trade,10,45661,44893,,,
10,1,FTF + FTT,02021,02021,Architecture,Transportation & Warehousing,,,,,,
10,1,FTF + FTT,02021,02021,Architecture,Information,,,,,,
10,1,FTF + FTT,02021,02021,Architecture,Finance & Insurance,,,,,,
10,1,FTF + FTT,02021,02021,Architecture,Real Estate & Rental & Leasing,,,,,,
10,1,FTF + FTT,02021,02021,Architecture,"Professional, Scientific, & Technical Skills",269,62429,63012,119,69476,72464
10,1,FTF + FTT,02021,02021,Architecture,Admin & Support & Waste Mgmt & Remediation,5,27535,26395,,,
10,1,FTF + FTT,02021,02021,Architecture,Educational Services,8,48601,44667,,,
10,1,FTF + FTT,02021,02021,Architecture,Health Care & Social Assistance,,,,,,
10,1,FTF + FTT,02021,02021,Architecture,"Arts, Entertainment, & Recreation",,,,,,
10,1,FTF + FTT,02021,02021,Architecture,Accommodation & Food Services,,,,,,
10,1,FTF + FTT,02021,02021,Architecture,Other Services,,,,,,
10,1,FTF + FTT,02021,02021,Architecture,Government,6,79593,79253,,,
10,1,FTF + FTT,02021,02021,Architecture,Wages - No NAICS Code,12,5700,12295,10,11231,17772
10,1,FTF + FTT,02041,02041,Landscape Architecture,"Agriculture, Forestry, Fishing, & Hunting",,,,,,
10,1,FTF + FTT,02041,02041,Landscape Architecture,Utilities,,,,,,
10,1,FTF + FTT,02041,02041,Landscape Architecture,Construction,11,46757,48541,,,
10,1,FTF + FTT,02041,02041,Landscape Architecture,Manufacturing,10,41795,48162,,,
10,1,FTF + FTT,02041,02041,Landscape Architecture,Wholesale Trade,7,52144,44877,,,
10,1,FTF + FTT,02041,02041,Landscape Architecture,Retail Trade,17,31389,32527,,,
10,1,FTF + FTT,02041,02041,Landscape Architecture,Transportation & Warehousing,,,,,,
10,1,FTF + FTT,02041,02041,Landscape Architecture,Information,,,,,,
10,1,FTF + FTT,02041,02041,Landscape Architecture,Finance & Insurance,,,,,,
10,1,FTF + FTT,02041,02041,Landscape Architecture,Real Estate & Rental & Leasing,,,,,,
10,1,FTF + FTT,02041,02041,Landscape Architecture,"Professional, Scientific, & Technical Skills",129,56401,55878,51,65880,61818
10,1,FTF + FTT,02041,02041,Landscape Architecture,Admin & Support & Waste Mgmt & Remediation,39,51110,48825,13,51788,61345
10,1,FTF + FTT,02041,02041,Landscape Architecture,Educational Services,7,6186,18452,,,
10,1,FTF + FTT,02041,02041,Landscape Architecture,Health Care & Social Assistance,5,38733,55265,,,
10,1,FTF + FTT,02041,02041,Landscape Architecture,"Arts, Entertainment, & Recreation",7,27811,33607,,,
10,1,FTF + FTT,02041,02041,Landscape Architecture,Accommodation & Food Services,6,16622,26551,,,
10,1,FTF + FTT,02041,02041,Landscape Architecture,Other Services,,,,,,
10,1,FTF + FTT,02041,02041,Landscape Architecture,Non-Classified,,,,,,
10,1,FTF + FTT,02041,02041,Landscape Architecture,Government,8,63593,57702,8,55037,59300
10,1,FTF + FTT,02041,02041,Landscape Architecture,Wages - No NAICS Code,26,18756,42082,8,94137,91099
10,1,FTF + FTT,02061,02061,City and Regional Planning,"Agriculture, Forestry, Fishing, & Hunting",,,,,,
10,1,FTF + FTT,02061,02061,City and Regional Planning,Utilities,,,,,,
10,1,FTF + FTT,02061,02061,City and Regional Planning,Construction,13,66557,71213,7,87184,85263
10,1,FTF + FTT,02061,02061,City and Regional Planning,Manufacturing,,,,,,
10,1,FTF + FTT,02061,02061,City and Regional Planning,Wholesale Trade,5,34046,36753,,,
10,1,FTF + FTT,02061,02061,City and Regional Planning,Retail Trade,5,35248,35605,,,
10,1,FTF + FTT,02061,02061,City and Regional Planning,Transportation & Warehousing,9,65627,57831,,,
10,1,FTF + FTT,02061,02061,City and Regional Planning,Information,,,,,,
10,1,FTF + FTT,02061,02061,City and Regional Planning,Finance & Insurance,,,,,,
10,1,FTF + FTT,02061,02061,City and Regional Planning,Real Estate & Rental & Leasing,5,62809,99282,,,
10,1,FTF + FTT,02061,02061,City and Regional Planning,"Professional, Scientific, & Technical Skills",56,61473,60545,17,80672,79379
10,1,FTF + FTT,02061,02061,City and Regional Planning,Management of Companies & Enterprises,,,,,,
10,1,FTF + FTT,02061,02061,City and Regional Planning,Admin & Support & Waste Mgmt & Remediation,7,51463,50588,,,
10,1,FTF + FTT,02061,02061,City and Regional Planning,Educational Services,5,46120,35510,,,
10,1,FTF + FTT,02061,02061,City and Regional Planning,Health Care & Social Assistance,,,,,,
10,1,FTF + FTT,02061,02061,City and Regional Planning,"Arts, Entertainment, & Recreation",,,,,,
10,1,FTF + FTT,02061,02061,City and Regional Planning,Accommodation & Food Services,5,25496,23678,,,
10,1,FTF + FTT,02061,02061,City and Regional Planning,Other Services,,,,,,
10,1,FTF + FTT,02061,02061,City and Regional Planning,Non-Classified,,,,,,
10,1,FTF + FTT,02061,02061,City and Regional Planning,Government,82,71625,71595,46,85819,85850
10,1,FTF + FTT,02061,02061,City and Regional Planning,Wages - No NAICS Code,14,17375,39017,10,5436,44052
10,1,FTF + FTT,04011,04011,Biology,"Agriculture, Forestry, Fishing, & Hunting",,,,,,
10,1,FTF + FTT,04011,04011,Biology,Utilities,6,68803,74355,6,76658,76661
10,1,FTF + FTT,04011,04011,Biology,Construction,,,,,,
