Campus,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,industry,number_of_students_found_5_years_after_exit,median_annual_earnings_5_years_after_exit,average_annual_earnings_5_years_after_exit,number_of_students_found_10_years_after_exit,median_annual_earnings_10_years_after_exit,average_annual_earnings_10_years_after_exit
50,1,FTF + FTT,04141,04141,Biochemistry,Transportation & Warehousing,,,,,,
50,1,FTF + FTT,04141,04141,Biochemistry,Information,,,,,,
50,1,FTF + FTT,04141,04141,Biochemistry,Finance & Insurance,,,,,,
50,1,FTF + FTT,04141,04141,Biochemistry,Real Estate & Rental & Leasing,,,,,,
50,1,FTF + FTT,04141,04141,Biochemistry,"Professional, Scientific, & Technical Skills",21,37176,40263,8,67311,70803
50,1,FTF + FTT,04141,04141,Biochemistry,Admin & Support & Waste Mgmt & Remediation,7,23594,21374,,,
50,1,FTF + FTT,04141,04141,Biochemistry,Educational Services,12,33291,35035,,,
50,1,FTF + FTT,04141,04141,Biochemistry,Health Care & Social Assistance,31,60098,61078,15,68467,71249
50,1,FTF + FTT,04141,04141,Biochemistry,Accommodation & Food Services,,,,,,
50,1,FTF + FTT,04141,04141,Biochemistry,Other Services,,,,,,
50,1,FTF + FTT,04141,04141,Biochemistry,Government,6,49582,42665,,,
50,1,FTF + FTT,04141,04141,Biochemistry,Wages - No NAICS Code,,,,,,
50,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Manufacturing,,,,,,
50,1,FTF + FTT,05011,05011,Business Administration,"Agriculture, Forestry, Fishing, & Hunting",33,27494,45881,19,23790,47770
50,1,FTF + FTT,05011,05011,Business Administration,Mining,,,,,,
50,1,FTF + FTT,05011,05011,Business Administration,Utilities,71,81540,83752,54,92942,95796
50,1,FTF + FTT,05011,05011,Business Administration,Construction,349,60784,68441,179,72930,85830
50,1,FTF + FTT,05011,05011,Business Administration,Manufacturing,942,61053,65325,511,74645,84898
50,1,FTF + FTT,05011,05011,Business Administration,Wholesale Trade,1056,56541,61391,500,69420,81181
50,1,FTF + FTT,05011,05011,Business Administration,Retail Trade,849,50307,52420,324,62191,66390
50,1,FTF + FTT,05011,05011,Business Administration,Transportation & Warehousing,184,52110,61502,95,71011,119469
50,1,FTF + FTT,05011,05011,Business Administration,Information,391,64535,69040,174,75932,91152
50,1,FTF + FTT,05011,05011,Business Administration,Finance & Insurance,2072,59877,66715,1015,75929,85871
50,1,FTF + FTT,05011,05011,Business Administration,Real Estate & Rental & Leasing,517,57309,60224,278,68796,77890
50,1,FTF + FTT,05011,05011,Business Administration,"Professional, Scientific, & Technical Skills",1541,61470,63599,749,77288,83962
50,1,FTF + FTT,05011,05011,Business Administration,Management of Companies & Enterprises,72,59346,59498,28,64228,75950
50,1,FTF + FTT,05011,05011,Business Administration,Admin & Support & Waste Mgmt & Remediation,828,46917,50905,331,57175,66765
50,1,FTF + FTT,05011,05011,Business Administration,Educational Services,374,49456,48184,224,56669,57236
50,1,FTF + FTT,05011,05011,Business Administration,Health Care & Social Assistance,421,46673,50544,252,55862,61033
50,1,FTF + FTT,05011,05011,Business Administration,"Arts, Entertainment, & Recreation",154,43042,46464,72,52033,50637
50,1,FTF + FTT,05011,05011,Business Administration,Accommodation & Food Services,377,37823,41583,150,46764,51624
50,1,FTF + FTT,05011,05011,Business Administration,Other Services,200,45446,52134,103,51083,58329
50,1,FTF + FTT,05011,05011,Business Administration,Non-Classified,35,21111,39754,13,19318,55683
50,1,FTF + FTT,05011,05011,Business Administration,Government,413,63644,66253,295,76693,83339
50,1,FTF + FTT,05011,05011,Business Administration,Wages - No NAICS Code,579,12578,29599,294,18851,44211
50,1,FTF + FTT,05021,05021,Accounting,"Professional, Scientific, & Technical Skills",,,,,,
50,1,FTF + FTT,05021,05021,Accounting,Accommodation & Food Services,,,,,,
