Campus,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,industry,number_of_students_found_5_years_after_exit,median_annual_earnings_5_years_after_exit,average_annual_earnings_5_years_after_exit,number_of_students_found_10_years_after_exit,median_annual_earnings_10_years_after_exit,average_annual_earnings_10_years_after_exit
73,1,FTF + FTT,20011 + 20013,20013,Psychology,Manufacturing,14,40518,38897,,,
73,1,FTF + FTT,20011 + 20013,20013,Psychology,Wholesale Trade,12,43621,49445,,,
73,1,FTF + FTT,20011 + 20013,20013,Psychology,Retail Trade,29,36579,34832,,,
73,1,FTF + FTT,20011 + 20013,20013,Psychology,Information,8,62250,62601,,,
73,1,FTF + FTT,20011 + 20013,20013,Psychology,Finance & Insurance,19,43105,48101,,,
73,1,FTF + FTT,20011 + 20013,20013,Psychology,Real Estate & Rental & Leasing,5,5757,20348,,,
73,1,FTF + FTT,20011 + 20013,20013,Psychology,"Professional, Scientific, & Technical Skills",22,46675,47261,,,
73,1,FTF + FTT,20011 + 20013,20013,Psychology,Management of Companies & Enterprises,,,,,,
73,1,FTF + FTT,20011 + 20013,20013,Psychology,Admin & Support & Waste Mgmt & Remediation,18,34932,39427,,,
73,1,FTF + FTT,20011 + 20013,20013,Psychology,Educational Services,54,35198,36449,6,68039,67823
73,1,FTF + FTT,20011 + 20013,20013,Psychology,Health Care & Social Assistance,82,31976,33665,13,43491,45118
73,1,FTF + FTT,20011 + 20013,20013,Psychology,"Arts, Entertainment, & Recreation",,,,,,
73,1,FTF + FTT,20011 + 20013,20013,Psychology,Accommodation & Food Services,32,25681,24655,6,23433,26185
73,1,FTF + FTT,20011 + 20013,20013,Psychology,Other Services,10,50297,40280,,,
73,1,FTF + FTT,20011 + 20013,20013,Psychology,Non-Classified,,,,,,
73,1,FTF + FTT,20011 + 20013,20013,Psychology,Government,40,55912,57102,9,55950,58920
73,1,FTF + FTT,20011 + 20013,20013,Psychology,Wages - No NAICS Code,25,4789,15971,,,
73,1,FTF + FTT,22041,22041,Economics,"Agriculture, Forestry, Fishing, & Hunting",,,,,,
73,1,FTF + FTT,22041,22041,Economics,Mining,,,,,,
73,1,FTF + FTT,22041,22041,Economics,Utilities,,,,,,
73,1,FTF + FTT,22041,22041,Economics,Construction,,,,,,
73,1,FTF + FTT,22041,22041,Economics,Manufacturing,,,,,,
73,1,FTF + FTT,22041,22041,Economics,Retail Trade,,,,,,
73,1,FTF + FTT,22041,22041,Economics,Transportation & Warehousing,,,,,,
73,1,FTF + FTT,22041,22041,Economics,Information,,,,,,
73,1,FTF + FTT,22041,22041,Economics,Finance & Insurance,5,42574,48450,,,
73,1,FTF + FTT,22041,22041,Economics,"Professional, Scientific, & Technical Skills",,,,,,
73,1,FTF + FTT,22041,22041,Economics,Admin & Support & Waste Mgmt & Remediation,,,,,,
73,1,FTF + FTT,22041,22041,Economics,Educational Services,,,,,,
73,1,FTF + FTT,22041,22041,Economics,Health Care & Social Assistance,,,,,,
73,1,FTF + FTT,22041,22041,Economics,Accommodation & Food Services,,,,,,
73,1,FTF + FTT,22041,22041,Economics,Other Services,,,,,,
73,1,FTF + FTT,22041,22041,Economics,Government,,,,,,
73,1,FTF + FTT,22041,22041,Economics,Wages - No NAICS Code,,,,,,
73,1,FTF + FTT,22051,22051,History,"Agriculture, Forestry, Fishing, & Hunting",,,,,,
73,1,FTF + FTT,22051,22051,History,Construction,,,,,,
73,1,FTF + FTT,22051,22051,History,Manufacturing,10,43544,46237,5,52421,63480
73,1,FTF + FTT,22051,22051,History,Wholesale Trade,,,,,,
73,1,FTF + FTT,22051,22051,History,Retail Trade,17,29562,34392,,,
73,1,FTF + FTT,22051,22051,History,Transportation & Warehousing,,,,,,
73,1,FTF + FTT,22051,22051,History,Information,,,,,,
73,1,FTF + FTT,22051,22051,History,Finance & Insurance,8,51906,47762,,,
73,1,FTF + FTT,22051,22051,History,Real Estate & Rental & Leasing,,,,,,
73,1,FTF + FTT,22051,22051,History,"Professional, Scientific, & Technical Skills",14,46700,49692,,,
73,1,FTF + FTT,22051,22051,History,Admin & Support & Waste Mgmt & Remediation,8,19274,24772,,,
