Campus,Location,Student Path,Entry Stat,HEGIS at ExitOLD,HEGIS at Exit,Major,industry,# of Students Found,Median Annual Earnings,Average Annual Earnings,# of Students Found,Median Annual Earnings,Average Annual Earnings
55,Dominguez Hills,1,FTF + FTT,6011,6011,Communications,Transportation & Warehousing,12,"$25,256 ","$36,430 ",6,"$76,616 ","$108,123 "
55,Dominguez Hills,1,FTF + FTT,6011,6011,Communications,Information,43,"$44,696 ","$52,347 ",21,"$78,002 ","$74,416 "
55,Dominguez Hills,1,FTF + FTT,6011,6011,Communications,Finance & Insurance,29,"$47,447 ","$46,889 ",11,"$70,418 ","$66,210 "
55,Dominguez Hills,1,FTF + FTT,6011,6011,Communications,Real Estate & Rental & Leasing,12,"$36,518 ","$39,512 ",,,
55,Dominguez Hills,1,FTF + FTT,6011,6011,Communications,"Professional, Scientific, & Technical Skills",51,"$45,165 ","$46,899 ",24,"$55,408 ","$59,744 "
55,Dominguez Hills,1,FTF + FTT,6011,6011,Communications,Management of Companies & Enterprises,,,,,,
55,Dominguez Hills,1,FTF + FTT,6011,6011,Communications,Admin & Support & Waste Mgmt & Remediation,45,"$33,959 ","$36,495 ",18,"$43,942 ","$41,895 "
55,Dominguez Hills,1,FTF + FTT,6011,6011,Communications,Educational Services,47,"$38,284 ","$35,565 ",27,"$47,880 ","$44,828 "
55,Dominguez Hills,1,FTF + FTT,6011,6011,Communications,Health Care & Social Assistance,33,"$46,549 ","$44,327 ",16,"$29,640 ","$36,143 "
55,Dominguez Hills,1,FTF + FTT,6011,6011,Communications,"Arts, Entertainment, & Recreation",12,"$38,374 ","$38,931 ",5,"$64,882 ","$48,681 "
55,Dominguez Hills,1,FTF + FTT,6011,6011,Communications,Accommodation & Food Services,22,"$27,585 ","$26,750 ",7,"$37,208 ","$33,804 "
55,Dominguez Hills,1,FTF + FTT,6011,6011,Communications,Other Services,16,"$28,352 ","$33,642 ",,,
55,Dominguez Hills,1,FTF + FTT,6011,6011,Communications,Non-Classified,,,,,,
55,Dominguez Hills,1,FTF + FTT,6011,6011,Communications,Government,31,"$59,110 ","$58,529 ",21,"$59,831 ","$67,396 "
55,Dominguez Hills,1,FTF + FTT,6011,6011,Communications,No Wages,608,,,859,,
55,Dominguez Hills,1,FTF + FTT,6011,6011,Communications,Wages - No NAICS Code,27,"$7,539 ","$19,245 ",14,"$23,514 ","$31,268 "
55,Dominguez Hills,1,FTF + FTT,6991,6991,Multimedia,Construction,,,,,,
55,Dominguez Hills,1,FTF + FTT,6991,6991,Multimedia,Manufacturing,9,"$43,701 ","$43,897 ",,,
55,Dominguez Hills,1,FTF + FTT,6991,6991,Multimedia,Wholesale Trade,,,,,,
55,Dominguez Hills,1,FTF + FTT,6991,6991,Multimedia,Retail Trade,19,"$16,106 ","$23,340 ",,,
55,Dominguez Hills,1,FTF + FTT,6991,6991,Multimedia,Transportation & Warehousing,,,,,,
55,Dominguez Hills,1,FTF + FTT,6991,6991,Multimedia,Information,23,"$39,630 ","$38,863 ",,,
55,Dominguez Hills,1,FTF + FTT,6991,6991,Multimedia,Finance & Insurance,,,,,,
55,Dominguez Hills,1,FTF + FTT,6991,6991,Multimedia,Real Estate & Rental & Leasing,,,,,,
55,Dominguez Hills,1,FTF + FTT,6991,6991,Multimedia,"Professional, Scientific, & Technical Skills",22,"$42,878 ","$40,499 ",8,"$71,827 ","$66,272 "
55,Dominguez Hills,1,FTF + FTT,6991,6991,Multimedia,Admin & Support & Waste Mgmt & Remediation,,,,,,
55,Dominguez Hills,1,FTF + FTT,6991,6991,Multimedia,Educational Services,16,"$38,259 ","$35,998 ",,,
55,Dominguez Hills,1,FTF + FTT,6991,6991,Multimedia,Health Care & Social Assistance,7,"$32,908 ","$31,250 ",,,
55,Dominguez Hills,1,FTF + FTT,6991,6991,Multimedia,"Arts, Entertainment, & Recreation",7,"$46,224 ","$43,977 ",,,
