	average_annual_earnings_10_years_after_exit	average_annual_earnings_5_years_after_exit	campus	entry_status	hegis_at_exit	industry	location	major	median_annual_earnings_10_years_after_exit	median_annual_earnings_5_years_after_exit	naics	number_of_students_found_10_years_after_exit	number_of_students_found_5_years_after_exit	student_path
107			0	FTF + FTT	1131	Admin & Support & Waste Mgmt & Remediation		Food Science and Technology			13			1
108			0	FTF + FTT	1131	Educational Services		Food Science and Technology			14			1
109			0	FTF + FTT	1131	Accommodation & Food Services		Food Science and Technology			17			1
110			0	FTF + FTT	1131	Government		Food Science and Technology			19			1
111			0	FTF + FTT	1131	No Wages		Food Science and Technology			20	145	115	1
112			0	FTF + FTT	1993	Agriculture, Forestry, Fishing, & Hunting		Agricultural Biology and Plant & Irrigation Science			1			1
113			0	FTF + FTT	1993	Construction		Agricultural Biology and Plant & Irrigation Science			3			1
114		107423.0	0	FTF + FTT	1993	Manufacturing		Agricultural Biology and Plant & Irrigation Science		99036.0	4		5	1
115			0	FTF + FTT	1993	Wholesale Trade		Agricultural Biology and Plant & Irrigation Science			5			1
116			0	FTF + FTT	1993	Transportation & Warehousing		Agricultural Biology and Plant & Irrigation Science			7			1
117			0	FTF + FTT	1993	Finance & Insurance		Agricultural Biology and Plant & Irrigation Science			9			1
118			0	FTF + FTT	1993	Real Estate & Rental & Leasing		Agricultural Biology and Plant & Irrigation Science			10			1
119			0	FTF + FTT	1993	Professional, Scientific, & Technical Skills		Agricultural Biology and Plant & Irrigation Science			11			1
120		63268.0	0	FTF + FTT	1993	Admin & Support & Waste Mgmt & Remediation		Agricultural Biology and Plant & Irrigation Science		71829.0	13		8	1
121			0	FTF + FTT	1993	Educational Services		Agricultural Biology and Plant & Irrigation Science			14			1
122			0	FTF + FTT	1993	Arts, Entertainment, & Recreation		Agricultural Biology and Plant & Irrigation Science			16			1
123			0	FTF + FTT	1993	Accommodation & Food Services		Agricultural Biology and Plant & Irrigation Science			17			1
124	79917.0	73203.0	0	FTF + FTT	1993	Government		Agricultural Biology and Plant & Irrigation Science	79960.0	60604.0	19	5	9	1
125			0	FTF + FTT	1993	No Wages		Agricultural Biology and Plant & Irrigation Science			20	191	154	1
126		64370.0	0	FTF + FTT	1993	Wages - No NAICS Code		Agricultural Biology and Plant & Irrigation Science		57867.0	21		6	1
127			0	FTF + FTT	2021	Agriculture, Forestry, Fishing, & Hunting		Architecture			1			1
