	average_annual_earnings_10_years_after_exit	average_annual_earnings_5_years_after_exit	campus	entry_status	hegis_at_exit	industry	location	major	median_annual_earnings_10_years_after_exit	median_annual_earnings_5_years_after_exit	naics	number_of_students_found_10_years_after_exit	number_of_students_found_5_years_after_exit	student_path
6716	68099.0	40769.0	70	FTF + FTT	5011	Admin & Support & Waste Mgmt & Remediation	Northridge	Business Administration	62937.0	40167.0	13	7	29	1
6717	60176.0	38176.0	70	FTF + FTT	5011	Educational Services	Northridge	Business Administration	60646.0	40224.0	14	9	24	1
6718	70973.0	49468.0	70	FTF + FTT	5011	Health Care & Social Assistance	Northridge	Business Administration	84055.0	43546.0	15	7	18	1
6719		44566.0	70	FTF + FTT	5011	Arts, Entertainment, & Recreation	Northridge	Business Administration		45338.0	16		11	1
6720	92453.0	32017.0	70	FTF + FTT	5011	Accommodation & Food Services	Northridge	Business Administration	59626.0	26554.0	17	7	14	1
6721		54277.0	70	FTF + FTT	5011	Other Services	Northridge	Business Administration		48369.0	18		10	1
6722			70	FTF + FTT	5011	Non-Classified	Northridge	Business Administration			22			1
6723	81677.0	58271.0	70	FTF + FTT	5011	Government	Northridge	Business Administration	85239.0	56308.0	19	19	35	1
6724			70	FTF + FTT	5011	No Wages	Northridge	Business Administration			20	879	524	1
6725	39729.0	19778.0	70	FTF + FTT	5011	Wages - No NAICS Code	Northridge	Business Administration	10376.0	8643.0	21	11	37	1
6726			70	FTF + FTT	5012	Construction	Northridge	Business Education			3			1
6727			70	FTF + FTT	5012	Retail Trade	Northridge	Business Education			6			1
6728			70	FTF + FTT	5012	Finance & Insurance	Northridge	Business Education			9			1
6729			70	FTF + FTT	5012	Real Estate & Rental & Leasing	Northridge	Business Education			10			1
6730			70	FTF + FTT	5012	Professional, Scientific, & Technical Skills	Northridge	Business Education			11			1
6731			70	FTF + FTT	5012	Educational Services	Northridge	Business Education			14			1
6732			70	FTF + FTT	5012	No Wages	Northridge	Business Education			20			1
6733		39453.0	70	FTF + FTT	5021	Agriculture, Forestry, Fishing, & Hunting	Northridge	Accounting		45313.0	1		6	1
6734			70	FTF + FTT	5021	Mining	Northridge	Accounting			23			1
6735	101262.0	99568.0	70	FTF + FTT	5021	Utilities	Northridge	Accounting	100566.0	101415.0	2	5	7	1
6736	83136.0	64448.0	70	FTF + FTT	5021	Construction	Northridge	Accounting	86197.0	71184.0	3	13	18	1
6737	96471.0	62469.0	70	FTF + FTT	5021	Manufacturing	Northridge	Accounting	86515.0	64325.0	4	42	58	1
6738	78076.0	53198.0	70	FTF + FTT	5021	Wholesale Trade	Northridge	Accounting	73405.0	51746.0	5	35	40	1
6739	82397.0	53664.0	70	FTF + FTT	5021	Retail Trade	Northridge	Accounting	58858.0	50401.0	6	26	47	1
6740	97198.0	62164.0	70	FTF + FTT	5021	Transportation & Warehousing	Northridge	Accounting	91654.0	73398.0	7	15	15	1
