Campus,Location,Student Path,Entry Stat,HEGIS At Exit,Major,Potential number of Students,Potential number of Students For Each Year Out of School,_25th Percentile Earnings,_50th Percentile Earnings,_75th Percentile Earnings,Average Earnings,Number of Students Found,Year
73,Channel Islands,1,FTF + FTT,12011,Health Science,4,,,,,,,6
73,Channel Islands,1,FTF + FTT,12011,Health Science,4,,,,,,,7
73,Channel Islands,1,FTF + FTT,12011,Health Science,4,,,,,,,8
73,Channel Islands,1,FTF + FTT,12011,Health Science,4,,,,,,,9
73,Channel Islands,1,FTF + FTT,12011,Health Science,4,,,,,,,10
73,Channel Islands,1,FTF + FTT,12011,Health Science,4,,,,,,,11
73,Channel Islands,1,FTF + FTT,12011,Health Science,4,,,,,,,12
73,Channel Islands,1,FTF + FTT,12011,Health Science,4,,,,,,,13
73,Channel Islands,1,FTF + FTT,12011,Health Science,4,,,,,,,14
73,Channel Islands,1,FTF + FTT,12011,Health Science,4,,,,,,,15
73,Channel Islands,1,FTF + FTT,15011,English,375,348,"$7,608","$16,105","$30,317","$21,203",289,1
73,Channel Islands,1,FTF + FTT,15011,English,375,315,"$13,425","$25,162","$39,480","$28,944",261,2
73,Channel Islands,1,FTF + FTT,15011,English,375,276,"$15,981","$29,584","$47,300","$34,154",225,3
73,Channel Islands,1,FTF + FTT,15011,English,375,235,"$16,807","$33,687","$49,250","$35,951",180,4
73,Channel Islands,1,FTF + FTT,15011,English,375,203,"$18,371","$32,673","$51,854","$38,509",140,5
73,Channel Islands,1,FTF + FTT,15011,English,375,170,"$20,332","$37,830","$52,587","$39,378",109,6
73,Channel Islands,1,FTF + FTT,15011,English,375,136,"$21,152","$39,468","$61,216","$44,005",91,7
73,Channel Islands,1,FTF + FTT,15011,English,375,112,"$25,063","$38,890","$60,834","$44,192",76,8
73,Channel Islands,1,FTF + FTT,15011,English,375,87,"$31,529","$42,146","$62,533","$49,437",56,9
73,Channel Islands,1,FTF + FTT,15011,English,375,59,"$33,556","$54,123","$72,233","$51,128",35,10
73,Channel Islands,1,FTF + FTT,15011,English,375,36,"$25,028","$46,546","$62,671","$47,527",20,11
73,Channel Islands,1,FTF + FTT,15011,English,375,13,"$12,014","$35,616","$52,133","$44,782",7,12
73,Channel Islands,1,FTF + FTT,15011,English,375,2,,,,,1,13
73,Channel Islands,1,FTF + FTT,15011,English,375,1,,,,,1,14
73,Channel Islands,1,FTF + FTT,15011,English,375,,,,,,,15
73,Channel Islands,1,FTF + FTT,17011,Mathematics,116,104,"$4,735","$14,092","$34,323","$22,511",86,1
73,Channel Islands,1,FTF + FTT,17011,Mathematics,116,92,"$11,768","$32,421","$46,666","$33,082",72,2
73,Channel Islands,1,FTF + FTT,17011,Mathematics,116,73,"$15,993","$39,886","$55,329","$39,738",57,3
73,Channel Islands,1,FTF + FTT,17011,Mathematics,116,65,"$18,297","$41,150","$58,796","$42,492",47,4
73,Channel Islands,1,FTF + FTT,17011,Mathematics,116,57,"$17,791","$47,593","$62,370","$42,359",39,5
73,Channel Islands,1,FTF + FTT,17011,Mathematics,116,48,"$31,963","$49,597","$67,205","$50,538",30,6
73,Channel Islands,1,FTF + FTT,17011,Mathematics,116,44,"$26,949","$53,915","$68,260","$54,356",27,7
73,Channel Islands,1,FTF + FTT,17011,Mathematics,116,34,"$41,762","$61,132","$74,267","$61,112",22,8
73,Channel Islands,1,FTF + FTT,17011,Mathematics,116,27,"$35,776","$62,751","$72,849","$59,397",21,9
73,Channel Islands,1,FTF + FTT,17011,Mathematics,116,24,"$48,985","$69,151","$94,875","$123,515",18,10
73,Channel Islands,1,FTF + FTT,17011,Mathematics,116,15,"$56,981","$70,921","$110,538","$83,645",10,11
73,Channel Islands,1,FTF + FTT,17011,Mathematics,116,6,"$68,684","$81,605","$284,287","$154,721",5,12
73,Channel Islands,1,FTF + FTT,17011,Mathematics,116,1,,,,,1,13
73,Channel Islands,1,FTF + FTT,17011,Mathematics,116,,,,,,,14
73,Channel Islands,1,FTF + FTT,17011,Mathematics,116,,,,,,,15
73,Channel Islands,1,FTF + FTT,19025,Applied Physics,22,16,"$10,969","$23,376","$45,361","$29,031",11,1
73,Channel Islands,1,FTF + FTT,19025,Applied Physics,22,13,"$9,568","$15,930","$50,650","$27,628",8,2
73,Channel Islands,1,FTF + FTT,19025,Applied Physics,22,8,"$5,607","$6,516","$13,090","$16,697",5,3
73,Channel Islands,1,FTF + FTT,19025,Applied Physics,22,5,,,,,1,4
73,Channel Islands,1,FTF + FTT,19025,Applied Physics,22,3,,,,,2,5
73,Channel Islands,1,FTF + FTT,19025,Applied Physics,22,2,,,,,1,6
73,Channel Islands,1,FTF + FTT,19025,Applied Physics,22,,,,,,,7
73,Channel Islands,1,FTF + FTT,19025,Applied Physics,22,,,,,,,8
73,Channel Islands,1,FTF + FTT,19025,Applied Physics,22,,,,,,,9
73,Channel Islands,1,FTF + FTT,19025,Applied Physics,22,,,,,,,10
73,Channel Islands,1,FTF + FTT,19025,Applied Physics,22,,,,,,,11
73,Channel Islands,1,FTF + FTT,19025,Applied Physics,22,,,,,,,12
73,Channel Islands,1,FTF + FTT,19025,Applied Physics,22,,,,,,,13
73,Channel Islands,1,FTF + FTT,19025,Applied Physics,22,,,,,,,14
73,Channel Islands,1,FTF + FTT,19025,Applied Physics,22,,,,,,,15
73,Channel Islands,1,FTF + FTT,19051,Chemistry,110,90,"$13,373","$25,115","$38,928","$26,559",73,1
73,Channel Islands,1,FTF + FTT,19051,Chemistry,110,70,"$24,874","$38,817","$47,044","$36,059",52,2
73,Channel Islands,1,FTF + FTT,19051,Chemistry,110,57,"$24,844","$40,817","$55,727","$41,454",46,3
73,Channel Islands,1,FTF + FTT,19051,Chemistry,110,41,"$31,745","$47,973","$64,621","$46,185",31,4
73,Channel Islands,1,FTF + FTT,19051,Chemistry,110,24,"$23,079","$51,671","$58,157","$46,011",15,5
73,Channel Islands,1,FTF + FTT,19051,Chemistry,110,19,"$40,896","$52,598","$63,149","$51,294",11,6
73,Channel Islands,1,FTF + FTT,19051,Chemistry,110,11,"$46,479","$50,114","$62,549","$59,308",6,7
73,Channel Islands,1,FTF + FTT,19051,Chemistry,110,5,,,,,3,8
73,Channel Islands,1,FTF + FTT,19051,Chemistry,110,2,,,,,1,9
73,Channel Islands,1,FTF + FTT,19051,Chemistry,110,,,,,,,10
73,Channel Islands,1,FTF + FTT,19051,Chemistry,110,,,,,,,11
73,Channel Islands,1,FTF + FTT,19051,Chemistry,110,,,,,,,12
73,Channel Islands,1,FTF + FTT,19051,Chemistry,110,,,,,,,13
73,Channel Islands,1,FTF + FTT,19051,Chemistry,110,,,,,,,14
73,Channel Islands,1,FTF + FTT,19051,Chemistry,110,,,,,,,15
73,Channel Islands,1,FTF + FTT,20011 + 20013,Psychology,"1,259","1,135","$11,194","$20,262","$31,919","$23,315",989,1
73,Channel Islands,1,FTF + FTT,20011 + 20013,Psychology,"1,259",928,"$14,751","$25,891","$37,705","$28,792",790,2
73,Channel Islands,1,FTF + FTT,20011 + 20013,Psychology,"1,259",740,"$17,648","$30,653","$43,462","$32,681",617,3
73,Channel Islands,1,FTF + FTT,20011 + 20013,Psychology,"1,259",596,"$19,935","$32,856","$49,059","$35,902",475,4
73,Channel Islands,1,FTF + FTT,20011 + 20013,Psychology,"1,259",490,"$19,449","$35,327","$51,984","$37,549",383,5
